"eevp_source","timestamp","year","mon","mday","hour","min","sec","sec_offset","votes","eevp","vote_shares_rischj","vote_shares_jordanp"
"edison","2020-11-04T07:00:38Z",2020,11,4,7,0,38,1604502038,660250,85,0.6,0.361
"edison","2020-11-04T07:07:08Z",2020,11,4,7,7,8,1604502428,666420,86,0.602,0.359
"edison","2020-11-04T07:08:30Z",2020,11,4,7,8,30,1604502510,674218,87,0.603,0.358
"edison","2020-11-04T07:12:08Z",2020,11,4,7,12,8,1604502728,686141,89,0.605,0.355
"edison","2020-11-04T07:17:44Z",2020,11,4,7,17,44,1604503064,686151,89,0.605,0.355
"edison","2020-11-04T07:22:35Z",2020,11,4,7,22,35,1604503355,692527,89,0.606,0.355
"edison","2020-11-04T07:27:52Z",2020,11,4,7,27,52,1604503672,692987,89,0.606,0.355
"edison","2020-11-04T07:31:55Z",2020,11,4,7,31,55,1604503915,722852,93,0.61,0.35
"edison","2020-11-04T07:36:46Z",2020,11,4,7,36,46,1604504206,724754,94,0.61,0.349
"edison","2020-11-04T07:49:47Z",2020,11,4,7,49,47,1604504987,725058,94,0.61,0.349
"edison","2020-11-04T08:05:48Z",2020,11,4,8,5,48,1604505948,729761,94,0.612,0.348
"edison","2020-11-04T08:06:50Z",2020,11,4,8,6,50,1604506010,749136,97,0.616,0.343
"edison","2020-11-04T08:41:49Z",2020,11,4,8,41,49,1604508109,778901,99,0.612,0.348
"edison","2020-11-04T08:42:41Z",2020,11,4,8,42,41,1604508161,792751,99,0.614,0.345
"edison","2020-11-04T09:02:51Z",2020,11,4,9,2,51,1604509371,808009,99,0.617,0.342
"edison","2020-11-04T09:28:46Z",2020,11,4,9,28,46,1604510926,812882,99,0.618,0.341
"edison","2020-11-04T09:57:42Z",2020,11,4,9,57,42,1604512662,817853,99,0.619,0.34
"edison","2020-11-04T10:11:49Z",2020,11,4,10,11,49,1604513509,829702,99,0.619,0.34
"edison","2020-11-04T11:01:51Z",2020,11,4,11,1,51,1604516511,853841,99,0.624,0.334
"edison","2020-11-06T15:33:53Z",2020,11,6,15,33,53,1604705633,858780,99,0.626,0.333
"edison","2020-11-13T15:49:50Z",2020,11,13,15,49,50,1605311390,858856,99,0.626,0.333
"ap","2020-11-17T19:41:28.143Z",NA,NA,NA,NA,NA,NA,NA,858826,99,0.626,0.333
"edison","2020-11-20T23:46:51Z",2020,11,20,23,46,51,1605944811,858826,99,0.626,0.333
