"timeStamp","precinctId","countyName","voteType","candidate","votes","delta"
"2020-11-27 04:08:19.000","Precinct 6","Box Butte","total","bidenj","179","179"
"2020-11-27 04:08:19.000","Precinct 6","Box Butte","total","jorgensenj","11","11"
"2020-11-27 04:08:19.000","Butte Basin McCulley","Boyd","total","trumpd","404","404"
"2020-11-27 04:08:19.000","Butte Basin McCulley","Boyd","total","bidenj","45","45"
"2020-11-27 04:08:19.000","Butte Basin McCulley","Boyd","total","jorgensenj","6","6"
"2020-11-27 04:08:19.000","Lynch Bristow Mullen Bush","Boyd","total","trumpd","227","227"
"2020-11-27 04:08:19.000","Lynch Bristow Mullen Bush","Boyd","total","bidenj","34","34"
"2020-11-27 04:08:19.000","Lynch Bristow Mullen Bush","Boyd","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Boyd","total","trumpd","1","1"
"2020-11-27 04:08:19.000","New/Former Resident","Boyd","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Boyd","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Spencer Morton","Boyd","total","trumpd","378","378"
"2020-11-27 04:08:19.000","Spencer Morton","Boyd","total","bidenj","56","56"
"2020-11-27 04:08:19.000","Spencer Morton","Boyd","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","Ainsworth Precinct","Brown","total","trumpd","447","447"
"2020-11-27 04:08:19.000","Ainsworth Precinct","Brown","total","bidenj","40","40"
"2020-11-27 04:08:19.000","Ainsworth Precinct","Brown","total","jorgensenj","3","3"
"2020-11-27 04:08:19.000","City of Ainsworth","Brown","total","trumpd","707","707"
"2020-11-27 04:08:19.000","City of Ainsworth","Brown","total","bidenj","101","101"
"2020-11-27 04:08:19.000","City of Ainsworth","Brown","total","jorgensenj","14","14"
"2020-11-27 04:08:19.000","New/Former Resident","Brown","total","trumpd","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Brown","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Brown","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","The Pines","Brown","total","trumpd","316","316"
"2020-11-27 04:08:19.000","The Pines","Brown","total","bidenj","50","50"
"2020-11-27 04:08:19.000","The Pines","Brown","total","jorgensenj","1","1"
"2020-11-27 04:08:19.000","New/Former Resident","Buffalo","total","trumpd","2","2"
"2020-11-27 04:08:19.000","New/Former Resident","Buffalo","total","bidenj","0","0"
"2020-11-27 04:08:19.000","New/Former Resident","Buffalo","total","jorgensenj","0","0"
"2020-11-27 04:08:19.000","Precinct 1","Buffalo","total","trumpd","704","704"
"2020-11-27 04:08:19.000","Precinct 1","Buffalo","total","bidenj","294","294"
"2020-11-27 04:08:19.000","Precinct 1","Buffalo","total","jorgensenj","14","14"
"2020-11-27 04:08:19.000","Precinct 10","Buffalo","total","trumpd","906","906"
"2020-11-27 04:08:19.000","Precinct 10","Buffalo","total","bidenj","412","412"
"2020-11-27 04:08:19.000","Precinct 10","Buffalo","total","jorgensenj","41","41"
"2020-11-27 04:08:19.000","Precinct 11","Buffalo","total","trumpd","358","358"
"2020-11-27 04:08:19.000","Precinct 11","Buffalo","total","bidenj","260","260"
"2020-11-27 04:08:19.000","Precinct 11","Buffalo","total","jorgensenj","25","25"
"2020-11-27 04:08:19.000","Precinct 12","Buffalo","total","trumpd","445","445"
"2020-11-27 04:08:19.000","Precinct 12","Buffalo","total","bidenj","292","292"
"2020-11-27 04:08:19.000","Precinct 12","Buffalo","total","jorgensenj","36","36"
"2020-11-27 04:08:19.000","Precinct 13","Buffalo","total","trumpd","1047","1047"
"2020-11-27 04:08:19.000","Precinct 13","Buffalo","total","bidenj","487","487"
"2020-11-27 04:08:19.000","Precinct 13","Buffalo","total","jorgensenj","45","45"
"2020-11-27 04:08:19.000","Precinct 14","Buffalo","total","trumpd","868","868"
"2020-11-27 04:08:19.000","Precinct 14","Buffalo","total","bidenj","364","364"
"2020-11-27 04:08:19.000","Precinct 14","Buffalo","total","jorgensenj","41","41"
"2020-11-27 04:08:19.000","Precinct 15","Buffalo","total","trumpd","282","282"
"2020-11-27 04:08:19.000","Precinct 15","Buffalo","total","bidenj","32","32"
"2020-11-27 04:08:19.000","Precinct 15","Buffalo","total","jorgensenj","4","4"
"2020-11-27 04:08:19.000","Precinct 16","Buffalo","total","trumpd","510","510"
"2020-11-27 04:08:19.000","Precinct 16","Buffalo","total","bidenj","87","87"
"2020-11-27 04:08:19.000","Precinct 16","Buffalo","total","jorgensenj","6","6"
"2020-11-27 04:08:19.000","Precinct 17","Buffalo","total","trumpd","235","235"
"2020-11-27 04:08:19.000","Precinct 17","Buffalo","total","bidenj","40","40"
"2020-11-27 04:08:19.000","Precinct 17","Buffalo","total","jorgensenj","2","2"
"2020-11-27 04:08:19.000","Precinct 18","Buffalo","total","trumpd","510","510"
"2020-11-27 04:08:19.000","Precinct 18","Buffalo","total","bidenj","155","155"
"2020-11-27 04:08:19.000","Precinct 18","Buffalo","total","jorgensenj","19","19"
"2020-11-27 04:08:19.000","Precinct 19","Buffalo","total","trumpd","514","514"
"2020-11-27 04:08:19.000","Precinct 19","Buffalo","total","bidenj","64","64"
"2020-11-27 04:08:19.000","Precinct 19","Buffalo","total","jorgensenj","13","13"
"2020-11-27 04:08:19.000","Precinct 2","Buffalo","total","trumpd","512","512"
"2020-11-27 04:08:19.000","Precinct 2","Buffalo","total","bidenj","286","286"
"2020-11-27 04:08:19.000","Precinct 2","Buffalo","total","jorgensenj","19","19"
"2020-11-27 04:08:19.000","Precinct 20","Buffalo","total","trumpd","914","914"
"2020-11-27 04:08:19.000","Precinct 20","Buffalo","total","bidenj","200","200"
"2020-11-27 04:08:19.000","Precinct 20","Buffalo","total","jorgensenj","23","23"
"2020-11-27 04:08:19.000","Precinct 21","Buffalo","total","trumpd","418","418"
"2020-11-27 04:08:19.000","Precinct 21","Buffalo","total","bidenj","87","87"
"2020-11-27 04:08:19.000","Precinct 21","Buffalo","total","jorgensenj","15","15"
"2020-11-27 04:08:19.000","Precinct 22","Buffalo","total","trumpd","259","259"
"2020-11-27 04:08:19.000","Precinct 22","Buffalo","total","bidenj","63","63"
"2020-11-27 04:08:19.000","Precinct 22","Buffalo","total","jorgensenj","10","10"
"2020-11-27 04:08:19.000","Precinct 23","Buffalo","total","trumpd","286","286"
"2020-11-27 04:08:19.000","Precinct 23","Buffalo","total","bidenj","101","101"
"2020-11-27 04:08:19.000","Precinct 23","Buffalo","total","jorgensenj","8","8"
"2020-11-27 04:08:19.000","Precinct 24","Buffalo","total","trumpd","547","547"
"2020-11-27 04:08:19.000","Precinct 24","Buffalo","total","bidenj","174","174"
"2020-11-27 04:08:19.000","Precinct 24","Buffalo","total","jorgensenj","20","20"
"2020-11-27 04:08:19.000","Precinct 25","Buffalo","total","trumpd","571","571"
"2020-11-27 04:08:19.000","Precinct 25","Buffalo","total","bidenj","105","105"
"2020-11-27 04:08:19.000","Precinct 25","Buffalo","total","jorgensenj","13","13"
"2020-11-27 04:08:19.000","Precinct 26","Buffalo","total","trumpd","583","583"
"2020-11-27 04:08:19.000","Precinct 26","Buffalo","total","bidenj","181","181"
"2020-11-27 04:08:19.000","Precinct 26","Buffalo","total","jorgensenj","12","12"
"2020-11-27 04:08:19.000","Precinct 27","Buffalo","total","trumpd","238","238"
"2020-11-27 04:08:19.000","Precinct 27","Buffalo","total","bidenj","101","101"
"2020-11-27 04:08:19.000","Precinct 27","Buffalo","total","jorgensenj","16","16"
"2020-11-27 04:08:19.000","Precinct 28","Buffalo","total","trumpd","550","550"
"2020-11-27 04:08:19.000","Precinct 28","Buffalo","total","bidenj","115","115"
"2020-11-27 04:08:19.000","Precinct 28","Buffalo","total","jorgensenj","12","12"
