"time_offset_ms","sid","cid","pid","vid","tally","votes_trumpd","votes_bidenj","votes_others"
0,16,29,232,1,381,296,77,8
0,16,29,233,1,374,314,58,2
0,16,29,234,1,256,223,28,5
0,16,29,235,1,192,153,36,3
0,16,29,236,1,250,227,21,2
0,16,29,237,1,488,436,39,13
0,16,29,238,1,407,360,36,11
0,16,29,239,1,436,372,54,10
0,16,29,240,1,272,245,21,6
0,16,29,241,1,363,277,72,14
0,16,29,242,1,497,377,106,14
0,16,29,243,1,405,325,65,15
0,16,30,244,1,1983,1447,489,47
0,16,30,245,1,2410,1685,648,77
0,16,30,246,1,984,580,347,57
0,16,30,247,1,829,545,249,35
0,16,30,248,1,558,347,187,24
0,16,30,249,1,1043,675,327,41
0,16,30,250,1,683,453,210,20
0,16,30,251,1,605,411,175,19
0,16,30,252,1,1798,1349,388,61
0,16,30,253,1,601,461,126,14
0,16,30,254,1,258,216,35,7
0,16,30,255,1,265,231,33,1
0,16,30,256,1,862,719,128,15
0,16,30,257,1,1741,1417,286,38
0,16,30,258,1,878,723,132,23
0,16,30,259,1,157,140,11,6
0,16,30,260,1,535,478,47,10
0,16,30,261,1,429,366,54,9
0,16,31,262,1,972,818,130,24
0,16,31,263,1,762,200,545,17
0,16,31,264,1,499,251,241,7
0,16,31,265,1,227,195,26,6
0,16,31,266,1,316,288,26,2
0,16,31,267,1,167,148,17,2
0,16,31,268,1,412,360,40,12
0,16,31,269,1,545,356,177,12
0,16,31,270,1,265,208,54,3
0,16,32,271,1,1777,1141,586,50
0,16,33,272,1,237,210,27,0
0,16,33,273,1,126,104,17,5
0,16,33,274,1,111,91,17,3
0,16,33,275,1,76,67,7,2
0,16,33,276,1,146,131,13,2
0,16,33,277,1,195,170,21,4
0,16,33,278,1,175,145,27,3
0,16,34,279,1,592,448,124,20
0,16,34,280,1,644,503,128,13
0,16,34,281,1,755,552,182,21
0,16,34,282,1,725,537,173,15
0,16,34,283,1,246,169,73,4
0,16,34,284,1,369,251,106,12
0,16,35,285,1,145,118,24,3
0,16,35,286,1,162,121,39,2
0,16,35,287,1,326,268,51,7
0,16,35,288,1,206,141,55,10
0,16,35,289,1,84,56,26,2
0,16,35,290,1,420,308,108,4
0,16,35,291,1,298,219,73,6
0,16,35,292,1,487,354,121,12
0,16,36,293,1,2915,1805,1010,100
0,16,36,294,1,758,534,210,14
0,16,36,295,1,1225,902,286,37
0,16,36,296,1,474,336,133,5
0,16,37,297,1,368,190,167,11
0,16,37,298,1,624,374,226,24
0,16,37,299,1,934,493,405,36
0,16,37,300,1,528,361,147,20
0,16,38,301,1,318,261,49,8
0,16,38,302,1,537,424,101,12
0,16,38,303,1,242,202,29,11
0,16,38,304,1,150,123,24,3
0,16,38,305,1,72,55,17,0
0,16,39,306,1,318,233,70,15
0,16,39,307,1,203,155,34,14
0,16,39,308,1,218,144,70,4
0,16,39,309,1,405,268,126,11
0,16,39,310,1,293,196,87,10
0,16,39,311,1,576,381,179,16
0,16,39,312,1,261,191,68,2
0,16,39,313,1,531,361,145,25
0,16,39,314,1,225,139,83,3
0,16,39,315,1,747,497,227,23
0,16,39,316,1,856,528,304,24
0,16,39,317,1,1067,663,378,26
0,16,39,318,1,1095,687,378,30
0,16,39,319,1,338,216,114,8
0,16,39,320,1,679,413,247,19
0,16,40,321,1,646,377,257,12
0,16,40,322,1,782,220,546,16
0,16,40,323,1,526,319,198,9
0,16,40,324,1,448,179,259,10
0,16,40,325,1,1402,162,1222,18
0,16,41,326,1,258,174,79,5
0,16,41,327,1,556,333,209,14
0,16,41,328,1,483,307,160,16
