"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,4,2,103,1,160,143,16,1
0,4,2,103,2,268,191,72,5
0,4,2,104,1,299,274,22,3
0,4,2,104,2,460,383,69,8
0,4,2,105,1,296,262,30,4
0,4,2,105,2,448,274,168,6
0,4,2,106,1,231,220,10,1
0,4,2,106,2,937,884,43,10
0,4,2,107,1,109,107,2,0
0,4,2,107,2,351,340,11,0
0,4,2,108,1,113,105,7,1
0,4,2,108,2,119,96,20,3
0,4,2,109,1,42,38,3,1
0,4,2,109,2,58,38,18,2
0,4,2,110,1,148,142,6,0
0,4,2,110,2,481,413,61,7
0,4,2,111,1,245,231,10,4
0,4,2,111,2,405,362,40,3
0,4,2,112,1,118,110,7,1
0,4,2,112,2,452,380,69,3
0,4,2,113,1,101,97,4,0
0,4,2,113,2,493,473,19,1
0,4,2,114,1,177,158,19,0
0,4,2,114,2,460,254,196,10
0,4,2,115,1,399,364,30,5
0,4,2,115,2,652,566,80,6
0,4,2,116,1,206,196,9,1
0,4,2,116,2,799,772,25,2
0,4,2,117,1,81,76,5,0
0,4,2,117,2,452,438,11,3
0,4,2,118,1,619,557,57,5
0,4,2,118,2,0,0,0,0
0,4,2,119,1,0,0,0,0
0,4,2,119,2,1,1,0,0
0,4,2,120,1,146,137,9,0
0,4,2,120,2,502,457,44,1
0,4,2,121,1,340,310,24,6
0,4,2,121,2,785,564,217,4
0,4,2,122,1,131,124,4,3
0,4,2,122,2,376,338,33,5
0,4,2,123,1,197,187,7,3
0,4,2,123,2,615,565,45,5
0,4,2,124,1,20,20,0,0
0,4,2,124,2,70,66,3,1
0,4,2,125,1,121,113,8,0
0,4,2,125,2,455,417,35,3
0,4,2,126,1,293,258,35,0
0,4,2,126,2,753,659,87,7
0,4,2,127,1,274,239,31,4
0,4,2,127,2,708,498,200,10
0,4,2,128,1,238,222,15,1
0,4,2,128,2,722,632,82,8
0,4,2,129,1,102,86,15,1
0,4,2,129,2,164,113,49,2
0,4,2,130,1,724,637,78,9
0,4,2,130,2,834,517,304,13
0,4,2,131,1,684,554,122,8
0,4,2,131,2,688,339,344,5
0,4,2,132,1,631,549,78,4
0,4,2,132,2,770,477,278,15
0,4,2,133,1,221,207,13,1
0,4,2,133,2,337,263,67,7
0,4,2,134,1,46,39,7,0
0,4,2,134,2,140,121,17,2
0,4,2,135,1,488,429,53,6
0,4,2,135,2,589,411,161,17
0,4,2,136,1,430,385,37,8
0,4,2,136,2,678,461,197,20
0,4,2,137,1,751,612,133,6
0,4,2,137,2,1223,600,612,11
0,4,2,138,1,193,180,10,3
0,4,2,138,2,401,332,67,2
0,4,2,139,1,68,58,9,1
0,4,2,139,2,154,109,42,3
0,4,2,140,1,542,438,96,8
0,4,2,140,2,724,370,344,10
0,4,2,141,1,541,434,100,7
0,4,2,141,2,830,368,450,12
0,4,2,142,1,80,66,12,2
0,4,2,142,2,143,92,49,2
0,4,2,143,1,97,88,9,0
0,4,2,143,2,161,116,43,2
0,4,2,144,1,228,180,47,1
0,4,2,144,2,283,144,134,5
0,4,2,145,1,32,30,2,0
0,4,2,145,2,85,67,17,1
0,4,2,146,1,441,401,38,2
0,4,2,146,2,1067,779,276,12
0,4,2,147,1,155,135,18,2
0,4,2,147,2,561,350,201,10
0,4,2,148,1,212,197,14,1
0,4,2,148,2,616,494,121,1
0,4,2,149,1,250,229,17,4
0,4,2,149,2,756,644,107,5
0,4,2,150,1,300,264,36,0
0,4,2,150,2,706,613,87,6
0,4,2,151,1,368,323,42,3
0,4,2,151,2,671,559,108,4
0,4,2,152,1,260,219,34,7
0,4,2,152,2,649,497,147,5
0,4,2,153,1,536,478,57,1
