"time_offset_ms","sid","cid","pid","vid","tally","votes_bidenj","votes_trumpd","votes_others"
0,21,17,2052,1,138,80,52,6
0,21,17,2053,1,487,362,114,11
0,21,17,2054,1,261,184,67,10
0,21,17,2055,1,359,243,107,9
0,21,17,2056,1,395,274,96,25
0,21,17,2057,1,422,260,154,8
0,21,17,2058,1,441,276,141,24
0,21,17,2059,1,327,201,117,9
0,21,17,2060,1,531,317,197,17
0,21,17,2061,1,713,431,267,15
0,21,17,2062,1,379,250,122,7
0,21,17,2063,1,445,256,178,11
0,21,17,2064,1,554,355,196,3
0,21,17,2065,1,826,504,308,14
0,21,17,2066,1,192,91,96,5
0,21,17,2067,1,580,394,173,13
0,21,17,2068,1,471,323,143,5
0,21,17,2069,1,616,338,266,12
0,21,17,2070,1,564,334,223,7
0,21,17,2071,1,753,440,297,16
0,21,17,2072,1,603,385,205,13
0,21,17,2073,1,762,475,266,21
0,21,17,2074,1,334,214,103,17
0,21,17,2075,1,726,418,288,20
0,21,17,2076,1,697,470,210,17
0,21,17,2077,1,574,373,189,12
0,21,17,2078,1,783,525,243,15
0,21,17,2079,1,456,270,169,17
0,21,17,2080,1,437,259,164,14
0,21,17,2081,1,488,350,122,16
0,21,17,2082,1,495,244,237,14
0,21,17,2083,1,560,376,174,10
0,21,17,2084,1,640,417,202,21
0,21,17,2085,1,377,215,145,17
0,21,17,2086,1,400,247,147,6
0,21,17,2087,1,701,420,267,14
0,21,17,2088,1,582,417,146,19
0,21,17,2089,1,791,490,279,22
0,21,17,2090,1,446,279,161,6
0,21,17,2091,1,485,285,182,18
0,21,17,2092,1,514,319,175,20
0,21,17,2093,1,490,327,154,9
0,21,17,2094,1,606,376,203,27
0,21,17,2095,1,390,232,146,12
0,21,17,2096,1,573,409,141,23
0,21,17,2097,1,274,159,103,12
0,21,17,2098,1,496,366,112,18
0,21,17,2099,1,775,442,311,22
0,21,17,2100,1,648,424,206,18
0,21,17,2101,1,680,488,177,15
0,21,17,2102,1,544,369,167,8
0,21,17,2103,1,464,285,167,12
0,21,17,2104,1,488,291,183,14
0,21,17,2105,1,468,277,184,7
0,21,17,2106,1,0,0,0,0
0,21,17,2107,1,342,211,122,9
0,21,17,2108,1,386,241,141,4
0,21,17,2109,1,232,165,62,5
0,21,17,2110,1,600,413,169,18
0,21,17,2111,1,565,313,241,11
0,21,17,2112,1,606,389,203,14
0,21,17,2113,1,300,175,122,3
0,21,17,2114,1,487,262,211,14
0,21,17,2115,1,492,343,129,20
0,21,17,2116,1,433,265,154,14
0,21,17,2117,1,372,183,178,11
0,21,17,2118,1,470,316,143,11
0,21,17,2119,1,270,166,92,12
0,21,17,2120,1,416,258,145,13
0,21,17,2121,1,508,284,207,17
0,21,17,2122,1,718,418,270,30
0,21,17,2123,1,455,231,217,7
0,21,17,2124,1,750,518,213,19
0,21,17,2125,1,782,580,181,21
0,21,17,2126,1,478,368,96,14
0,21,17,2127,1,675,491,167,17
0,21,17,2128,1,595,436,143,16
0,21,17,2129,1,567,402,143,22
0,21,17,2130,1,625,440,157,28
0,21,17,2131,1,727,534,173,20
0,21,17,2132,1,608,424,154,30
0,21,17,2133,1,480,352,116,12
0,21,17,2134,1,630,459,139,32
0,21,17,2135,1,641,461,165,15
0,21,17,2136,1,561,394,153,14
0,21,17,2137,1,564,430,122,12
0,21,17,2138,1,548,411,120,17
0,21,17,2139,1,669,506,142,21
0,21,17,2140,1,626,446,157,23
0,21,17,2141,1,545,402,134,9
0,21,17,2142,1,365,249,105,11
0,21,17,2143,1,517,350,137,30
0,21,17,2144,1,417,305,92,20
0,21,17,2145,1,482,291,171,20
0,21,17,2146,1,509,377,119,13
0,21,17,2147,1,441,327,104,10
0,21,17,2148,1,330,242,79,9
0,21,17,2149,1,556,409,132,15
0,21,17,2150,1,375,302,68,5
0,21,17,2151,1,359,253,93,13
0,21,17,2152,1,820,606,195,19
0,21,17,2153,1,596,473,113,10
0,21,17,2154,1,531,406,100,25
0,21,17,2155,1,588,427,147,14
0,21,17,2156,1,450,354,85,11
0,21,17,2157,1,305,213,75,17
0,21,17,2158,1,732,474,235,23
0,21,17,2159,1,732,533,186,13
0,21,17,2160,1,480,332,132,16
0,21,17,2161,1,667,454,187,26
0,21,17,2162,1,646,453,168,25
0,21,17,2163,1,579,442,125,12
0,21,17,2164,1,707,497,188,22
0,21,17,2165,1,565,384,162,19
0,21,17,2166,1,566,407,144,15
0,21,17,2167,1,708,534,148,26
0,21,17,2168,1,618,421,184,13
0,21,17,2169,1,618,433,162,23
0,21,17,2170,1,361,281,65,15
0,21,17,2171,1,419,302,104,13
0,21,17,2172,1,294,209,69,16
0,21,17,2173,1,462,361,82,19
0,21,17,2174,1,258,207,46,5
0,21,17,2175,1,612,451,128,33
0,21,17,2176,1,805,609,182,14
0,21,17,2177,1,417,322,84,11
0,21,17,2178,1,450,339,97,14
0,21,17,2179,1,340,220,112,8
0,21,17,2180,1,333,252,74,7
0,21,17,2181,1,442,328,103,11
0,21,17,2182,1,422,302,106,14
0,21,17,2183,1,480,359,99,22
0,21,17,2184,1,376,278,90,8
0,21,17,2185,1,445,325,111,9
0,21,17,2186,1,300,214,76,10
0,21,17,2187,1,233,176,53,4
0,21,17,2188,1,208,148,52,8
0,21,17,2189,1,399,295,91,13
0,21,17,2190,1,327,244,73,10
0,21,17,2191,1,445,332,87,26
0,21,17,2192,1,379,292,79,8
0,21,17,2193,1,789,615,148,26
0,21,17,2194,1,541,397,127,17
0,21,17,2195,1,647,496,121,30
0,21,17,2196,1,577,440,115,22
0,21,17,2197,1,470,343,107,20
0,21,17,2198,1,484,350,120,14
0,21,17,2199,1,622,440,173,9
0,21,17,2200,1,439,296,129,14
0,21,17,2201,1,365,274,82,9
0,21,17,2202,1,422,308,106,8
0,21,17,2203,1,264,179,73,12
0,21,17,2204,1,734,542,157,35
0,21,17,2205,1,221,140,62,19
0,21,17,2206,1,456,320,124,12
0,21,17,2207,1,525,390,124,11
0,21,17,2208,1,323,229,81,13
0,21,17,2209,1,418,309,87,22
0,21,17,2210,1,339,218,115,6
0,21,17,2211,1,404,299,96,9
0,21,17,2212,1,693,474,197,22
0,21,17,2213,1,781,556,201,24
0,21,17,2214,1,367,264,92,11
0,21,17,2215,1,431,319,98,14
0,21,17,2216,1,393,275,100,18
0,21,17,2217,1,400,282,107,11
0,21,17,2218,1,477,320,135,22
0,21,17,2219,1,484,372,99,13
0,21,17,2220,1,487,370,102,15
0,21,17,2221,1,410,261,141,8
0,21,17,2222,1,711,491,197,23
0,21,17,2223,1,472,373,92,7
0,21,17,2224,1,506,373,122,11
0,21,17,2225,1,619,465,132,22
0,21,17,2226,1,425,270,146,9
0,21,17,2227,1,761,589,148,24
0,21,17,2228,1,572,419,138,15
0,21,17,2229,1,629,476,136,17
0,21,17,2230,1,641,510,113,18
0,21,17,2231,1,750,547,187,16
0,21,17,2232,1,504,390,97,17
0,21,17,2233,1,457,366,79,12
0,21,17,2234,1,506,364,124,18
0,21,17,2235,1,543,410,109,24
0,21,17,2236,1,701,556,132,13
0,21,17,2237,1,389,261,118,10
0,21,17,2238,1,804,550,225,29
0,21,17,2239,1,467,353,90,24
0,21,17,2240,1,612,462,135,15
0,21,17,2241,1,284,223,54,7
0,21,17,2242,1,396,280,101,15
0,21,17,2243,1,245,187,48,10
0,21,17,2244,1,341,233,92,16
0,21,17,2245,1,265,203,51,11
0,21,17,2246,1,705,521,164,20
0,21,17,2247,1,685,453,214,18
0,21,17,2248,1,744,570,154,20
0,21,17,2249,1,434,331,85,18
0,21,17,2250,1,328,209,107,12
0,21,17,2251,1,430,287,131,12
0,21,17,2252,1,550,219,316,15
0,21,17,2253,1,489,282,181,26
0,21,17,2254,1,445,298,131,16
0,21,17,2255,1,123,66,57,0
0,21,17,2256,1,635,357,255,23
0,21,17,2257,1,537,370,140,27
0,21,17,2258,1,239,116,115,8
0,21,17,2259,1,533,255,263,15
0,21,17,2260,1,616,319,279,18
0,21,17,2261,1,492,291,185,16
0,21,17,2262,1,758,630,118,10
0,21,17,2263,1,538,445,83,10
0,21,17,2264,1,605,408,179,18
0,21,17,2265,1,449,353,83,13
0,21,17,2266,1,599,471,108,20
0,21,17,2267,1,530,410,98,22
0,21,17,2268,1,476,386,75,15
0,21,17,2269,1,487,375,100,12
0,21,17,2270,1,410,360,38,12
0,21,17,2271,1,349,300,41,8
0,21,17,2272,1,258,224,29,5
0,21,17,2273,1,397,331,58,8
0,21,17,2274,1,472,379,77,16
0,21,17,2275,1,693,574,94,25
0,21,17,2276,1,547,441,87,19
0,21,17,2277,1,534,439,76,19
0,21,17,2278,1,341,246,87,8
0,21,17,2279,1,547,436,99,12
0,21,17,2280,1,430,338,82,10
0,21,17,2281,1,377,315,50,12
0,21,17,2282,1,450,373,63,14
0,21,17,2283,1,304,237,53,14
0,21,17,2284,1,256,196,48,12
0,21,17,2285,1,554,440,104,10
0,21,17,2286,1,480,415,58,7
0,21,17,2287,1,416,207,195,14
0,21,17,2288,1,637,519,103,15
0,21,17,2289,1,605,367,220,18
0,21,17,2290,1,507,296,198,13
0,21,17,2291,1,766,348,396,22
0,21,17,2292,1,437,280,148,9
0,21,17,2293,1,532,316,196,20
0,21,17,2294,1,300,223,63,14
0,21,17,2295,1,744,584,143,17
0,21,17,2296,1,397,309,78,10
0,21,17,2297,1,405,298,99,8
0,21,17,2298,1,353,261,85,7
0,21,17,2299,1,324,236,80,8
0,21,17,2300,1,256,191,53,12
0,21,17,2301,1,314,239,65,10
0,21,17,2302,1,573,385,179,9
0,21,17,2303,1,317,248,63,6
0,21,17,2304,1,254,184,67,3
0,21,17,2305,1,269,206,58,5
0,21,17,2306,1,528,409,106,13
0,21,17,2307,1,261,188,70,3
0,21,17,2308,1,234,160,69,5
0,21,17,2309,1,320,231,78,11
0,21,17,2310,1,463,371,77,15
0,21,17,2311,1,577,450,114,13
0,21,17,2312,1,487,366,103,18
0,21,17,2313,1,354,224,116,14
0,21,17,2314,1,310,239,66,5
0,21,17,2315,1,482,356,114,12
0,21,17,2316,1,361,306,52,3
0,21,17,2317,1,188,154,28,6
0,21,17,2318,1,450,331,109,10
0,21,17,2319,1,384,294,84,6
0,21,17,2320,1,339,267,71,1
0,21,17,2321,1,224,163,50,11
0,21,17,2322,1,320,236,70,14
0,21,17,2323,1,345,281,56,8
0,21,17,2324,1,570,431,130,9
0,21,17,2325,1,238,166,68,4
0,21,17,2326,1,250,197,41,12
0,21,17,2327,1,270,216,47,7
0,21,17,2328,1,538,417,103,18
0,21,17,2329,1,394,306,84,4
0,21,17,2330,1,449,365,75,9
0,21,17,2331,1,550,414,126,10
0,21,17,2332,1,373,289,71,13
0,21,17,2333,1,456,352,92,12
0,21,17,2334,1,316,244,69,3
0,21,17,2335,1,568,437,107,24
0,21,17,2336,1,243,199,41,3
0,21,17,2337,1,456,345,97,14
0,21,17,2338,1,334,167,165,2
0,21,17,2339,1,679,411,242,26
0,21,17,2340,1,734,439,265,30
0,21,17,2341,1,488,250,221,17
0,21,17,2342,1,763,417,312,34
0,21,17,2343,1,376,196,162,18
0,21,17,2344,1,768,426,311,31
0,21,17,2345,1,595,329,244,22
0,21,17,2346,1,626,343,255,28
0,21,17,2347,1,539,298,224,17
0,21,17,2348,1,379,246,128,5
0,21,17,2349,1,386,209,150,27
0,21,17,2350,1,838,437,377,24
0,21,17,2351,1,582,352,208,22
0,21,17,2352,1,709,379,313,17
0,21,17,2353,1,692,372,295,25
0,21,17,2354,1,445,238,184,23
0,21,17,2355,1,515,297,206,12
0,21,17,2356,1,379,237,124,18
0,21,17,2357,1,843,496,311,36
0,21,17,2358,1,544,303,226,15
0,21,17,2359,1,605,351,230,24
